Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
50338,80,6,90179,36,45,356,59195,356,0,9.88888888888889,59.3333333333333,1448,0,1315.44444444444,408.91105698581,660364.386387075,898.213553044501,1127.2375,1670.40205304864,9234,51,79113,2260.37142857143,2238.0682201361,12166,252,90179,2049.52272727273,2046.68147154927,10172,270,0,0,0,0,1152,1460,399.206023575333,499.007529469167,0,1448,726.231707317073,720.971640317931,519800.106142728,0,1,0,0,0,0,0,0,1,735.197530864198,9.88888888888889,1315.44444444444,0,0,0,0,0,0,36,356,45,59195,-1,507,1,0,0,0,0,0,0,0,0,0,Phishing
50338,80,6,1691,1,1,0,0,0,0,0,0,0,0,0,0,0,1182.73211117682,1691,0,1691,1691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,591.366055588409,591.366055588409,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,2007,0,0,0,0,0,0,0,0,0,0,Phishing
50329,80,6,30008945,2,2,0,0,0,0,0,0,0,0,0,0,0,0.133293589628026,10002981.6666667,17321055.8793153,30003614,121,30003614,30003614,0,30003614,30003614,5210,5210,0,5210,5210,0,0,0,0,64,84,0.066646794814013,0.066646794814013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,-1,65160,0,0,0,0,0,0,0,0,0,0,Phishing
50319,80,6,9324,0,2,0,0,0,0,0,0,0,0,0,0,0,214.500214500214,9324,0,9324,9324,0,0,0,0,0,9324,9324,0,9324,9324,0,0,0,0,0,64,0,214.500214500214,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,510,0,0,0,0,0,0,0,0,0,0,Phishing
50339,80,6,24567,4,6,932,272,507,0,233,271.119899675402,145,0,45.3333333333333,70.4603907643625,49008.8329873407,407.050107868279,2729.66666666667,3354.30857256753,8481,7,16104,5368,7583.5433011225,14120,743,24567,4913.4,4326.76291238612,10598,7,0,0,0,0,128,212,162.820043147311,244.230064720967,0,507,109.454545454545,185.214666609512,34304.4727272727,0,1,0,0,0,0,0,0,1,120.4,233,45.3333333333333,0,0,0,0,0,0,4,932,6,272,-1,503,2,0,0,0,0,0,0,0,0,0,Phishing
50339,80,6,452,1,1,0,0,0,0,0,0,0,0,0,0,0,4424.77876106195,452,0,452,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2212.38938053097,2212.38938053097,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,2054,0,0,0,0,0,0,0,0,0,0,Phishing
50340,80,6,87573,4,6,932,272,507,0,233,271.119899675402,145,0,45.3333333333333,70.4603907643625,13748.5297979971,114.190446827218,9730.33333333333,23078.4202394791,70936,148,15476,5158.66666666667,7263.43213180473,13545,868,87573,17514.6,30020.5204035506,70936,1046,0,0,0,0,128,212,45.6761787308874,68.5142680963311,0,507,109.454545454545,185.214666609512,34304.4727272727,0,1,0,0,0,0,0,0,1,120.4,233,45.3333333333333,0,0,0,0,0,0,4,932,6,272,-1,503,2,0,0,0,0,0,0,0,0,0,Phishing
50340,80,6,762,1,1,0,0,0,0,0,0,0,0,0,0,0,2624.6719160105,762,0,762,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1312.33595800525,1312.33595800525,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,2054,0,0,0,0,0,0,0,0,0,0,Phishing
50342,80,6,91875,38,45,356,59195,356,0,9.36842105263158,57.7508259225515,1448,0,1315.44444444444,408.91105698581,648174.149659864,903.401360544218,1120.42682926829,1815.74418325501,10448,8,80870,2185.67567567568,2570.13152553689,12659,81,91875,2088.06818181818,2205.55188893347,10554,8,0,0,0,0,1216,1460,413.605442176871,489.795918367347,0,1448,708.940476190476,720.888998543782,519680.948221457,0,1,0,0,0,0,0,0,1,717.481927710843,9.36842105263158,1315.44444444444,0,0,0,0,0,0,38,356,45,59195,-1,507,1,0,0,0,0,0,0,0,0,0,Phishing
50342,80,6,2486,2,1,0,0,0,0,0,0,0,0,0,0,0,1206.75784392599,1243,804.687516990291,1812,674,674,674,0,674,674,0,0,0,0,0,0,0,0,0,64,32,804.50522928399,402.252614641995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,1962,0,0,0,0,0,0,0,0,0,0,Phishing
